Statistical profiling result from isolate-0x102800000-v8.log, (6258 ticks, 93 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  v8::internal::String::ComputeAndSetHash()
      1    0.0%    0.0%  v8::internal::String::CalculateLineEnds(v8::internal::Handle<v8::internal::String>, bool)
      1    0.0%    0.0%  v8::internal::Runtime_StringTrim(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_StringToNumber(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_StringIndexOf(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_NewObject(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_DefineDataPropertyUnchecked(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_DateSetValue(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_CompareNilIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Runtime_CharFromCode(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::RelocIterator::next()
      1    0.0%    0.0%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteCreationContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
      1    0.0%    0.0%  v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
      1    0.0%    0.0%  v8::internal::DescriptorArray::SetEnumCache(v8::internal::FixedArray*, v8::internal::FixedArray*, v8::internal::Object*)
      1    0.0%    0.0%  int v8::internal::LinearSearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int, int*)
      1    0.0%    0.0%  _sprintf_l

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
    470    7.5%  /usr/local/bin/node
    125   26.6%    v8::internal::Runtime_CompileOptimized(int, v8::internal::Object**, v8::internal::Isolate*)
      8    6.4%      LazyCompile: *checkExpressionWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22767:39
      8  100.0%        LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      2   25.0%          LazyCompile: *checkPropertyAssignment /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22715:41
      2  100.0%            LazyCompile: ~checkObjectLiteral /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:20442:36
      2   25.0%          LazyCompile: *checkExpressionStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24031:42
      2  100.0%            LazyCompile: *checkSourceElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:25367:36
      1   12.5%          LazyCompile: ~checkFunctionExpressionOrObjectLiteralMethodDeferred /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22147:70
      1  100.0%            LazyCompile: ~checkDeferredNodes /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:25494:36
      1   12.5%          LazyCompile: ~checkExpressionWithContextualType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22698:51
      1  100.0%            LazyCompile: ~inferTypeArguments /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21251:36
      1   12.5%          LazyCompile: ~checkExpressionCached /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22705:39
      1  100.0%            LazyCompile: ~checkReturnStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24283:38
      1   12.5%          LazyCompile: *checkExpressionWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22767:39
      1  100.0%            LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      4    3.2%      LazyCompile: *bindReachableStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11871:40
      3   75.0%        LazyCompile: *bindChildren /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11787:30
      2   66.7%          LazyCompile: *visitNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6711:23
      1   50.0%            LazyCompile: ~forEachChild /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6732:26
      1   50.0%            LazyCompile: *forEachChild /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6732:26
      1   33.3%          LazyCompile: *bind /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12719:22
      1  100.0%            LazyCompile: ~visitEachNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6721:27
      1   25.0%        LazyCompile: ~bindChildren /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11787:30
      1  100.0%          LazyCompile: *bind /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12719:22
      1  100.0%            LazyCompile: ~visitEachNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6721:27
      3    2.4%      LazyCompile: *resolveStructuredTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16359:46
      2   66.7%        LazyCompile: *getSignaturesOfType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16532:37
      2  100.0%          LazyCompile: ~signaturesRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18252:41
      2  100.0%            LazyCompile: ~objectTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18085:41
      1   33.3%        LazyCompile: *instantiateTypeWithSingleGenericCallSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22729:63
      1  100.0%          LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      1  100.0%            LazyCompile: ~checkExpressionWithContextualType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22698:51
      3    2.4%      LazyCompile: *checkVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23944:46
      2   66.7%        LazyCompile: *checkParameter /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22858:32
      1   50.0%          LazyCompile: *forEach /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:824:21
      1  100.0%            LazyCompile: ~checkSignatureDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22974:43
      1   50.0%          LazyCompile: *checkSignatureDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22974:43
      1  100.0%            LazyCompile: *checkFunctionOrMethodDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23729:50
      1   33.3%        LazyCompile: *checkVariableDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24007:42
      1  100.0%          LazyCompile: *checkSourceElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:25367:36
      1  100.0%            LazyCompile: *checkVariableStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24015:40
      3    2.4%      LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      2   66.7%        LazyCompile: ~checkExpressionCached /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22705:39
      1   50.0%          LazyCompile: ~getTypeForVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15412:51
      1  100.0%            LazyCompile: *getWidenedTypeForVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15520:58
      1   50.0%          LazyCompile: ~checkReturnStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24283:38
      1  100.0%            LazyCompile: *checkSourceElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:25367:36
      1   33.3%        LazyCompile: ~checkBinaryExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22480:39
      1  100.0%          LazyCompile: ~checkExpressionWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22767:39
      1  100.0%            LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
     43    9.1%    v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      6   14.0%      LazyCompile: ~objectTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18085:41
      2   33.3%        LazyCompile: ~isRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17830:33
      2  100.0%          LazyCompile: *checkTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17792:36
      1   50.0%            LazyCompile: ~checkApplicableSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21315:42
      1   50.0%            LazyCompile: *checkApplicableSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21315:42
      2   33.3%        LazyCompile: ~isIdenticalTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17938:35
      2  100.0%          LazyCompile: ~isRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17830:33
      2  100.0%            LazyCompile: ~compareProperties /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18451:35
      1   16.7%        LazyCompile: *isRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17830:33
      1  100.0%          LazyCompile: ~propertiesRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18157:41
      1  100.0%            LazyCompile: ~objectTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18085:41
      1   16.7%        LazyCompile: *checkSignatureDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22974:43
      1  100.0%          LazyCompile: ~eachTypeRelatedToType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18055:43
      1  100.0%            LazyCompile: *checkSignatureDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22974:43
      6   14.0%      LazyCompile: ~declareSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11724:31
      3   50.0%        LazyCompile: *declareSymbolAndAddToSymbolTableWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12446:56
      2   66.7%          LazyCompile: *bindPropertyOrMethodOrAccessor /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13101:48
      2  100.0%            LazyCompile: *bindWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12765:28
      1   33.3%          LazyCompile: *bindParameter /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13055:31
      1  100.0%            LazyCompile: *bindWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12765:28
      3   50.0%        LazyCompile: *bindBlockScopedDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12587:44
      2   66.7%          LazyCompile: *bindVariableDeclarationOrBindingElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13039:57
      2  100.0%            LazyCompile: *bindWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12765:28
      1   33.3%          LazyCompile: *bindBlockScopedVariableDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12605:52
      1  100.0%            LazyCompile: ~bindVariableDeclarationOrBindingElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13039:57
      6   14.0%      LazyCompile: *declareSymbolAndAddToSymbolTableWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12446:56
      5   83.3%        LazyCompile: *bindParameter /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13055:31
      5  100.0%          LazyCompile: *bindWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12765:28
      5  100.0%            LazyCompile: *bind /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12719:22
      1   16.7%        LazyCompile: *bindPropertyOrMethodOrAccessor /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13101:48
      1  100.0%          LazyCompile: *bind /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12719:22
      1  100.0%            LazyCompile: ~visitEachNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6721:27
      3    7.0%      LazyCompile: ~inferTypes /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18801:28
      3  100.0%        LazyCompile: ~inferTypeArguments /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21251:36
      3  100.0%          LazyCompile: ~chooseOverload /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21603:36
      2   66.7%            LazyCompile: *resolveCall /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21517:29
      1   33.3%            LazyCompile: *parseModifiers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:10214:32
      3    7.0%      LazyCompile: ~addInheritedMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16096:37
      3  100.0%        LazyCompile: ~resolveObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16121:42
      3  100.0%          LazyCompile: ~resolveClassOrInterfaceMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16154:48
      3  100.0%            LazyCompile: *resolveStructuredTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16359:46
      2    4.7%      LazyCompile: ~createSymbolTable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16080:35
      2  100.0%        LazyCompile: ~resolveObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16121:42
      2  100.0%          LazyCompile: ~resolveClassOrInterfaceMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16154:48
      2  100.0%            LazyCompile: *resolveStructuredTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16359:46
      2    4.7%      LazyCompile: ~checkInheritedPropertiesAreIdentical /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24716:54
      2  100.0%        LazyCompile: ~checkInterfaceDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24748:43
      2  100.0%          LazyCompile: *checkSourceElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:25367:36
      2  100.0%            LazyCompile: ~forEach /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:824:21
      2    4.7%      LazyCompile: *parsePropertyOrMethodSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8233:48
      2  100.0%        LazyCompile: *parseTypeMember /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8283:33
      2  100.0%          LazyCompile: *parseList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7715:27
      2  100.0%            LazyCompile: *parseObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8306:40
      2    4.7%      LazyCompile: *parseIdentifier /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7476:33
      1   50.0%        LazyCompile: *parsePrimaryExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9350:40
      1  100.0%          LazyCompile: *parseIncrementExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9015:42
      1  100.0%            LazyCompile: *parseUnaryExpressionOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8955:46
      1   50.0%        LazyCompile: *parseDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9918:34
      1  100.0%          LazyCompile: *parseStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9849:32
      1  100.0%            LazyCompile: *parseList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7715:27
      1    2.3%      LazyCompile: ~isRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17830:33
      1  100.0%        LazyCompile: *checkTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17792:36
      1  100.0%          LazyCompile: *checkTypeAssignableTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17664:39
      1  100.0%            LazyCompile: ~checkInterfaceDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24748:43
      1    2.3%      LazyCompile: ~createInstantiatedSymbolTable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16088:47
      1  100.0%        LazyCompile: ~resolveObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16121:42
      1  100.0%          LazyCompile: ~resolveTypeReferenceMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16157:45
      1  100.0%            LazyCompile: ~resolveStructuredTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16359:46
      1    2.3%      LazyCompile: ~bindBlockScopedDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12587:44
      1  100.0%        LazyCompile: ~bindBlockScopedVariableDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12605:52
      1  100.0%          LazyCompile: ~bindVariableDeclarationOrBindingElement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13039:57
      1  100.0%            LazyCompile: *bindWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12765:28
      1    2.3%      LazyCompile: ~<anonymous> /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24722:82
      1  100.0%        LazyCompile: *forEach /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:824:21
      1  100.0%          LazyCompile: ~checkInheritedPropertiesAreIdentical /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24716:54
      1  100.0%            LazyCompile: ~checkInterfaceDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24748:43
      1    2.3%      LazyCompile: *parsePropertyName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7496:35
      1  100.0%        LazyCompile: ~parsePropertyOrMethodSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8233:48
      1  100.0%          LazyCompile: *parseTypeMember /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8283:33
      1  100.0%            LazyCompile: *parseList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7715:27
      1    2.3%      LazyCompile: *parsePrimaryExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9350:40
      1  100.0%        LazyCompile: *parseLeftHandSideExpressionOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9037:53
      1  100.0%          LazyCompile: ~parseIncrementExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9015:42
      1  100.0%            LazyCompile: ~parseUnaryExpressionOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8955:46
      1    2.3%      LazyCompile: *parseMemberExpressionRest /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9236:43
      1  100.0%        LazyCompile: *parseIncrementExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9015:42
      1  100.0%          LazyCompile: *parseUnaryExpressionOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8955:46
      1  100.0%            LazyCompile: *parseAssignmentExpressionOrHigher /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8592:51
      1    2.3%      LazyCompile: *instantiateType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17566:33
      1  100.0%        LazyCompile: *getTypeOfInstantiatedSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15677:45
      1  100.0%          LazyCompile: ~getTypeOfSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15684:33
      1  100.0%            LazyCompile: *checkApplicableSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21315:42
      1    2.3%      LazyCompile: *bindBlockScopedDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12587:44
      1  100.0%        LazyCompile: *bindWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12765:28
      1  100.0%          LazyCompile: *bind /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12719:22
      1  100.0%            LazyCompile: ~visitEachNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6721:27
      1    2.3%      LazyCompile: *addInheritedMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16096:37
      1  100.0%        LazyCompile: ~resolveObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16121:42
      1  100.0%          LazyCompile: ~resolveClassOrInterfaceMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16154:48
      1  100.0%            LazyCompile: *resolveStructuredTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16359:46
      1    2.3%      LazyCompile: *<anonymous> /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18647:45
      1  100.0%        LazyCompile: *forEach /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:824:21
      1  100.0%          LazyCompile: ~getWidenedTypeOfObjectLiteral /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18644:47
      1  100.0%            LazyCompile: *getWidenedType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18669:32
     29    6.2%    v8::internal::Runtime_StackGuard(int, v8::internal::Object**, v8::internal::Isolate*)
      2    6.9%      LazyCompile: *hasProperty /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:1020:25
      2  100.0%        LazyCompile: ~getNamedMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14280:33
      2  100.0%          LazyCompile: ~setObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14296:38
      2  100.0%            LazyCompile: ~resolveObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16121:42
      2    6.9%      LazyCompile: *checkCollisionWithCapturedSuperVariable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23822:57
      2  100.0%        LazyCompile: *checkIdentifier /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19632:33
      2  100.0%          LazyCompile: *checkExpressionWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22767:39
      2  100.0%            LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      1    3.4%      LazyCompile: ~signaturesRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18252:41
      1  100.0%        LazyCompile: ~objectTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18085:41
      1  100.0%          LazyCompile: ~isRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17830:33
      1  100.0%            LazyCompile: *checkTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17792:36
      1    3.4%      LazyCompile: ~parseFunctionBlock /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9524:36
      1  100.0%        LazyCompile: ~parseFunctionExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9477:41
      1  100.0%          LazyCompile: *parsePrimaryExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9350:40
      1  100.0%            LazyCompile: *parseIncrementExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9015:42
      1    3.4%      LazyCompile: ~nodeIsSynthesized /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5816:31
      1  100.0%        LazyCompile: ~emitExpressionIdentifier /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:30217:46
      1  100.0%          LazyCompile: *emitIdentifier /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:30292:36
      1  100.0%            LazyCompile: *emitJavaScriptWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:34962:42
      1    3.4%      LazyCompile: ~getTypeOfSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15684:33
      1  100.0%        LazyCompile: *checkPropertyAccessExpressionOrQualifiedName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:20923:62
      1  100.0%          LazyCompile: *checkExpressionWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22767:39
      1  100.0%            LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      1    3.4%      LazyCompile: ~getFlowTypeOfReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19301:40
      1  100.0%        LazyCompile: *checkIdentifier /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19632:33
      1  100.0%          LazyCompile: *checkExpressionWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22767:39
      1  100.0%            LazyCompile: *checkExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22744:33
      1    3.4%      LazyCompile: ~emitDecoratorsOfMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:33264:45
      1  100.0%        LazyCompile: ~emitDecoratorsOfClass /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:33228:43
      1  100.0%          LazyCompile: ~emitClassLikeDeclarationBelowES6 /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:33153:54
      1  100.0%            LazyCompile: ~emitClassLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:33034:46
      1    3.4%      LazyCompile: ~checkTypeParameters /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24494:37
      1  100.0%        LazyCompile: ~checkSignatureDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22974:43
      1  100.0%          LazyCompile: ~checkFunctionOrMethodDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23729:50
      1  100.0%            LazyCompile: ~checkFunctionDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23720:42
      1    3.4%      LazyCompile: ~bindIterativeStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12085:40
      1  100.0%        LazyCompile: ~bindForInOrForOfStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12132:43
      1  100.0%          LazyCompile: ~bindReachableStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11871:40
      1  100.0%            LazyCompile: ~bindChildren /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11787:30
      1    3.4%      LazyCompile: assert /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:1534:24
      1  100.0%        LazyCompile: ~createFileDiagnostic /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:1140:34
      1  100.0%          LazyCompile: *parseParameterList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8161:36
      1  100.0%            LazyCompile: *fillSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8149:31
      1    3.4%      LazyCompile: *parseKeywordAndNoDot /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8337:38
      1  100.0%        LazyCompile: ~speculationHelper /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4152:35
