Statistical profiling result from isolate-0x102800000-v8.log, (6258 ticks, 93 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.1%    0.1%  LazyCompile: *checkTypeRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17792:36
      5    0.1%    0.1%  LazyCompile: *bind /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:12719:22
      5    0.1%    0.1%  LazyCompile: *addDeclarationToSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11646:40
      5    0.1%    0.1%  Handler: An IC handler from the snapshot {16}
      4    0.1%    0.1%  Stub: ToBooleanStub {1}
      4    0.1%    0.1%  Stub: SubStringStub
      4    0.1%    0.1%  Stub: RecordWriteStub {2}
      4    0.1%    0.1%  Stub: RecordWriteStub
      4    0.1%    0.1%  Stub: FastCloneShallowArrayStub
      4    0.1%    0.1%  Stub: CompareICStub {7}
      4    0.1%    0.1%  Stub: CEntryStub
      4    0.1%    0.1%  LazyCompile: ~resolveStructuredTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16359:46
      4    0.1%    0.1%  LazyCompile: ~isSymbolOfDeclarationWithCollidingName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:26023:56
      4    0.1%    0.1%  LazyCompile: ~isImmediatelyUsedInInitializerOfBlockScopedVariable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13628:73
      4    0.1%    0.1%  LazyCompile: ~getSymbolOfNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14226:33
      4    0.1%    0.1%  LazyCompile: ~encodeLastRecordedSourceMapSpan /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27475:49
      4    0.1%    0.1%  LazyCompile: ~checkVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23944:46
      4    0.1%    0.1%  LazyCompile: ~checkObjectLiteral /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:20442:36
      4    0.1%    0.1%  LazyCompile: ~checkFunctionOrMethodDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23729:50
      4    0.1%    0.1%  LazyCompile: *visitEachNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:6721:27
      4    0.1%    0.1%  LazyCompile: *parseParameter /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8124:32
      4    0.1%    0.1%  LazyCompile: *parseKeywordAndNoDot /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8337:38
      4    0.1%    0.1%  LazyCompile: *parseBinaryExpressionRest /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8827:43
      4    0.1%    0.1%  LazyCompile: *instantiateSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17488:35
      4    0.1%    0.1%  LazyCompile: *getTypeAtFlowAssignment /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19356:45
      4    0.1%    0.1%  LazyCompile: *getSymbolLinks /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13575:32
      4    0.1%    0.1%  LazyCompile: *getReturnTypeOfSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16766:42
      4    0.1%    0.1%  LazyCompile: *getEnclosingBlockScopeContainer /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4517:45
      4    0.1%    0.1%  LazyCompile: *getDeclarationFlagsFromSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:20850:47
      4    0.1%    0.1%  LazyCompile: *forEach /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:824:21
      4    0.1%    0.1%  LazyCompile: *emitLeadingCommentsWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:35180:47
      4    0.1%    0.1%  LazyCompile: *emitBinaryExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31137:42
      4    0.1%    0.1%  LazyCompile: *checkBlock /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23764:28
      4    0.1%    0.1%  LazyCompile: *checkApplicableSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21315:42
      4    0.1%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot
      4    0.1%    0.1%  Handler: typeParameters {1}
      4    0.1%    0.1%  Handler: symbol("nonexistent_symbol" hash b417e63)
      4    0.1%    0.1%  Handler: parameters {1}
      4    0.1%    0.1%  Handler: An IC handler from the snapshot {8}
      4    0.1%    0.1%  Handler: An IC handler from the snapshot {20}
      4    0.1%    0.1%  Handler: An IC handler from the snapshot {13}
      3    0.0%    0.1%  Stub: StoreTransitionStub {4}
      3    0.0%    0.1%  Stub: StoreTransitionStub
      3    0.0%    0.1%  Stub: RecordWriteStub {9}
      3    0.0%    0.1%  Stub: BinaryOpWithAllocationSiteStub(ADD_CreateAllocationMementos:Smi*String->String)
      3    0.0%    0.1%  LazyCompile: ~speculationHelper /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4152:35
      3    0.0%    0.1%  LazyCompile: ~resolveObjectTypeMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16121:42
      3    0.0%    0.1%  LazyCompile: ~parseDelimitedList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7937:36
      3    0.0%    0.1%  LazyCompile: ~isKnownProperty /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17958:37
      3    0.0%    0.1%  LazyCompile: ~getTypeOfEnumMember /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15660:37
      3    0.0%    0.1%  LazyCompile: ~getTypeListId /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16900:31
      3    0.0%    0.1%  LazyCompile: ~getTypeForVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15412:51
      3    0.0%    0.1%  LazyCompile: ~getTypeAtFlowBranchLabel /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19386:46
      3    0.0%    0.1%  LazyCompile: ~getFlowTypeOfReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19301:40
      3    0.0%    0.1%  LazyCompile: ~getDeclarationName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:11667:36
      3    0.0%    0.1%  LazyCompile: ~chooseOverload /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21603:36
